date_entered,salespersond,salesperson,sales
01,2020-S09,0,0
01,2020-S10,0,0
01,2020-S11,0,3
01,2020-S12,0,26
01,2020-S13,0,43
01,2020-S14,0,30
01,2020-S15,0,20
01,2020-S16,0,1
01,2020-S17,0,2
01,2020-S18,0,0
01,2020-S19,0,0
01,2020-S20,0,2
01,2020-S21,0,0
01,2020-S22,0,1
01,2020-S23,0,0
01,2020-S24,0,0
01,2020-S25,0,0
01,2020-S26,0,4
01,2020-S27,0,0
01,2020-S28,0,2
01,2020-S29,0,0
01,2020-S30,0,0
01,2020-S31,0,0
01,2020-S32,0,2
01,2020-S33,0,6
01,2020-S34,0,17
01,2020-S35,0,30
01,2020-S36,0,70
01,2020-S37,0,88
01,2020-S38,0,109
01,2020-S39,0,128
01,2020-S40,0,117
01,2020-S41,0,88
01,2020-S42,0,60
01,2020-S43,0,37
01,2020-S44,0,41
01,2020-S45,0,31
01,2020-S46,0,25
01,2020-S47,0,5
01,2020-S48,0,6
01,2020-S49,0,6
01,2020-S50,0,6
01,2020-S51,0,6
01,2020-S52,0,4
01,2020-S53,0,3
01,2021-S01,0,7
01,2021-S02,0,15
01,2021-S03,0,11
01,2021-S04,0,7
01,2021-S05,0,14
01,2021-S06,0,15
01,2021-S07,0,21
01,2021-S08,0,22
01,2021-S09,0,18
01,2021-S10,0,32
01,2021-S11,0,26
01,2021-S12,0,32
01,2021-S13,0,34
01,2021-S14,0,54
01,2021-S15,0,75
01,2021-S16,0,73
01,2021-S17,0,92
01,2021-S18,0,52
01,2021-S19,0,49
01,2021-S20,0,58
01,2021-S21,0,41
01,2021-S22,0,50
01,2021-S23,0,27
01,2021-S24,0,26
01,2021-S25,0,25
01,2021-S26,0,43
01,2021-S27,0,26
01,2021-S28,0,35
01,2021-S29,0,49
01,2021-S30,0,104
01,2021-S31,0,196
01,2021-S32,0,396
01,2021-S33,0,420
01,2021-S34,0,373
01,2021-S35,0,269
01,2021-S36,0,129
01,2021-S37,0,99
01,2021-S38,0,50
01,2021-S39,0,30
01,2021-S40,0,20
01,2021-S41,0,22
01,2021-S42,0,12
01,2021-S43,0,8
01,2021-S44,0,16
01,2021-S45,0,19
01,2021-S46,0,11
01,2021-S47,0,8
01,2021-S48,0,12
01,2021-S49,0,5
01,2021-S50,0,12
01,2021-S51,0,14
01,2021-S52,0,20
01,2022-S01,0,76
01,2020-S09,09,0
01,2020-S10,09,0
01,2020-S11,09,0
01,2020-S12,09,0
01,2020-S13,09,0
01,2020-S14,09,0
01,2020-S15,09,0
01,2020-S16,09,0
01,2020-S17,09,0
01,2020-S18,09,0
01,2020-S19,09,0
01,2020-S20,09,0
01,2020-S21,09,0
01,2020-S22,09,0
01,2020-S23,09,0
01,2020-S24,09,0
01,2020-S25,09,0
01,2020-S26,09,0
01,2020-S27,09,0
01,2020-S28,09,0
01,2020-S29,09,0
01,2020-S30,09,0
01,2020-S31,09,0
01,2020-S32,09,0
01,2020-S33,09,0
01,2020-S34,09,0
01,2020-S35,09,1
01,2020-S36,09,2
01,2020-S37,09,0
01,2020-S38,09,0
01,2020-S39,09,3
01,2020-S40,09,2
01,2020-S41,09,2
01,2020-S42,09,6
01,2020-S43,09,1
01,2020-S44,09,1
01,2020-S45,09,1
01,2020-S46,09,1
01,2020-S47,09,0
01,2020-S48,09,0
01,2020-S49,09,0
01,2020-S50,09,0
01,2020-S51,09,0
01,2020-S52,09,0
01,2020-S53,09,0
01,2021-S01,09,0
01,2021-S02,09,0
01,2021-S03,09,0
01,2021-S04,09,0
01,2021-S05,09,0
01,2021-S06,09,0
01,2021-S07,09,0
01,2021-S08,09,0
01,2021-S09,09,0
01,2021-S10,09,0
01,2021-S11,09,0
01,2021-S12,09,1
01,2021-S13,09,0
01,2021-S14,09,1
01,2021-S15,09,0
01,2021-S16,09,2
01,2021-S17,09,0
01,2021-S18,09,0
01,2021-S19,09,2
01,2021-S20,09,0
01,2021-S21,09,0
01,2021-S22,09,0
01,2021-S23,09,0
01,2021-S24,09,0
01,2021-S25,09,0
01,2021-S26,09,0
01,2021-S27,09,0
01,2021-S28,09,0
01,2021-S29,09,3
01,2021-S30,09,2
01,2021-S31,09,7
01,2021-S32,09,7
01,2021-S33,09,3
01,2021-S34,09,4
01,2021-S35,09,5
01,2021-S36,09,1
01,2021-S37,09,1
01,2021-S38,09,0
01,2021-S39,09,0
01,2021-S40,09,0
01,2021-S41,09,0
01,2021-S42,09,0
01,2021-S43,09,0
01,2021-S44,09,0
01,2021-S45,09,0
01,2021-S46,09,0
01,2021-S47,09,0
01,2021-S48,09,0
01,2021-S49,09,0
01,2021-S50,09,0
01,2021-S51,09,1
01,2021-S52,09,1
01,2022-S01,09,9
01,2020-S09,19,0
01,2020-S10,19,0
01,2020-S11,19,0
01,2020-S12,19,0
01,2020-S13,19,0
01,2020-S14,19,0
01,2020-S15,19,1
01,2020-S16,19,0
01,2020-S17,19,0
01,2020-S18,19,0
01,2020-S19,19,0
01,2020-S20,19,0
01,2020-S21,19,0
01,2020-S22,19,0
01,2020-S23,19,0
01,2020-S24,19,0
01,2020-S25,19,0
01,2020-S26,19,0
01,2020-S27,19,0
01,2020-S28,19,0
01,2020-S29,19,0
01,2020-S30,19,0
01,2020-S31,19,0
01,2020-S32,19,0
01,2020-S33,19,0
01,2020-S34,19,0
01,2020-S35,19,0
01,2020-S36,19,0
01,2020-S37,19,0
01,2020-S38,19,0
01,2020-S39,19,1
01,2020-S40,19,0
01,2020-S41,19,2
01,2020-S42,19,1
01,2020-S43,19,0
01,2020-S44,19,2
01,2020-S45,19,1
01,2020-S46,19,0
01,2020-S47,19,0
01,2020-S48,19,0
01,2020-S49,19,0
01,2020-S50,19,0
01,2020-S51,19,0
01,2020-S52,19,0
01,2020-S53,19,0
01,2021-S01,19,0
01,2021-S02,19,0
01,2021-S03,19,0
01,2021-S04,19,0
01,2021-S05,19,0
01,2021-S06,19,0
01,2021-S07,19,0
01,2021-S08,19,0
01,2021-S09,19,0
01,2021-S10,19,0
01,2021-S11,19,1
01,2021-S12,19,0
01,2021-S13,19,1
01,2021-S14,19,0
01,2021-S15,19,0
01,2021-S16,19,1
01,2021-S17,19,0
01,2021-S18,19,0
01,2021-S19,19,0
01,2021-S20,19,1
01,2021-S21,19,0
01,2021-S22,19,0
01,2021-S23,19,0
01,2021-S24,19,0
01,2021-S25,19,0
01,2021-S26,19,0
01,2021-S27,19,0
01,2021-S28,19,0
01,2021-S29,19,1
01,2021-S30,19,1
01,2021-S31,19,10
01,2021-S32,19,6
01,2021-S33,19,4
01,2021-S34,19,8
01,2021-S35,19,5
01,2021-S36,19,3
01,2021-S37,19,2
01,2021-S38,19,2
01,2021-S39,19,0
01,2021-S40,19,0
01,2021-S41,19,0
01,2021-S42,19,0
01,2021-S43,19,0
01,2021-S44,19,0
01,2021-S45,19,0
01,2021-S46,19,0
01,2021-S47,19,0
01,2021-S48,19,0
01,2021-S49,19,0
01,2021-S50,19,0
01,2021-S51,19,0
01,2021-S52,19,1
01,2022-S01,19,1
01,2020-S09,29,0
01,2020-S10,29,0
01,2020-S11,29,0
01,2020-S12,29,0
01,2020-S13,29,0
01,2020-S14,29,1
01,2020-S15,29,0
01,2020-S16,29,0
01,2020-S17,29,0
01,2020-S18,29,0
01,2020-S19,29,0
01,2020-S20,29,0
01,2020-S21,29,0
01,2020-S22,29,0
01,2020-S23,29,0
01,2020-S24,29,0
01,2020-S25,29,0
01,2020-S26,29,0
01,2020-S27,29,0
01,2020-S28,29,0
01,2020-S29,29,0
01,2020-S30,29,0
